ID	book_id	char_text	place_text	context_10	context_50	context_100
CBNYWM	59015	me	Rosedale	her less well to - day . He has advised <char> me </char> to send her to <place> Rosedale </place> . ” I have never , even in secret ,	about her room . ” His face changed — how I could not at first determine . “ Have you see Doctor Brandon ? ” “ He came this morning to give me his directions . ” “ He thought her less well to - day . He has advised <char> me </char> to send her to <place> Rosedale </place> . ” I have never , even in secret , tried to account for Doctor Maradick .	with Mrs. Maradick or against her . “ She talked quite rationally , ” I replied after a moment . “ What did she say ? ” “ She told me how she was feeling , that she missed her child , and that she walked a little every day about her room . ” His face changed — how I could not at first determine . “ Have you see Doctor Brandon ? ” “ He came this morning to give me his directions . ” “ He thought her less well to - day . He has advised <char> me </char> to send her to <place> Rosedale </place> . ” I have never , even in secret , tried to account for Doctor Maradick .
UYHEYW	36282	me	Tarleton	given over the pursuit , and turned back to rejoin <place> Tarleton </place> . It was now possible for <char> me </char> to accept General Lafayette 's offer of a furlough and	pang of jealousy at being deprived of the full credit of being the fair Nelly 's rescuer and protector . Our junction with Wayne was effected near the ford of the Rapidan a few days later . Already Cornwallis had given over the pursuit , and turned back to rejoin <place> Tarleton </place> . It was now possible for <char> me </char> to accept General Lafayette 's offer of a furlough and escort , with fair prospect of safe journey to the valley by circuitous northeastern route . It seemed my fate , by some claim upon my private sentiments or some untoward accident , again and again to be withdrawn from	guard falling into line of march . Twice during the day he rode back to exchange a few words with her , and to assure himself of her comfort . He was so attentive , indeed , and so solicitous for her , that I think I felt almost a pang of jealousy at being deprived of the full credit of being the fair Nelly 's rescuer and protector . Our junction with Wayne was effected near the ford of the Rapidan a few days later . Already Cornwallis had given over the pursuit , and turned back to rejoin <place> Tarleton </place> . It was now possible for <char> me </char> to accept General Lafayette 's offer of a furlough and escort , with fair prospect of safe journey to the valley by circuitous northeastern route . It seemed my fate , by some claim upon my private sentiments or some untoward accident , again and again to be withdrawn from active service at critical periods of our struggle .
XGJFUB	21044	he	the bank	got past the stage of being flurried by shouts from <place> the bank </place> . He feels nervous undoubtedly , but <char> he </char> does not look it , as he quietly tries his	"now , you fellows , "" cries Wyndham 's voice . "" Now , boss Riddell -- mind your eye . Pull your left when you want to go right , "" shout the facetious Welchers . Riddell had long got past the stage of being flurried by shouts from <place> the bank </place> . He feels nervous undoubtedly , but <char> he </char> does not look it , as he quietly tries his rudder - lines and settles himself on his seat . Fairbairn is as cool as ever ."	"for it takes up the inside berth , amid the triumphant cheers of its partisans . "" Hurrah ! you 're inside , "" they cry . "" Mind you put them into the bank , "" is the derisive echo of the enemy . "" Now , Fairbairn ; now , you fellows , "" cries Wyndham 's voice . "" Now , boss Riddell -- mind your eye . Pull your left when you want to go right , "" shout the facetious Welchers . Riddell had long got past the stage of being flurried by shouts from <place> the bank </place> . He feels nervous undoubtedly , but <char> he </char> does not look it , as he quietly tries his rudder - lines and settles himself on his seat . Fairbairn is as cool as ever ."
YOPCLO	45749	Johnstone	There	"only me and Susan from the town ! "" "" <place> There </place> 'll be plenty ready to go , "" said <char> Johnstone </char> . "" Aye , that they will , but they"	", and come and be friendly -- he may think what he likes . ' "" There was another pause . "" There 'll have been nothin' like it in my day , "" said the Mayor . "" And only me and Susan from the town ! "" "" <place> There </place> 'll be plenty ready to go , "" said <char> Johnstone </char> . "" Aye , that they will , but they wo n't have the askin ' ."	"Of course , if you like to go on like this , worryin ' the Squire 's friends , why , it is n't for you to put your legs under the Squire 's ma'ogany . So the Squire says . He says , ' Let him drop that nonsense , and come and be friendly -- he may think what he likes . ' "" There was another pause . "" There 'll have been nothin' like it in my day , "" said the Mayor . "" And only me and Susan from the town ! "" "" <place> There </place> 'll be plenty ready to go , "" said <char> Johnstone </char> . "" Aye , that they will , but they wo n't have the askin ' ."
MXNQTB	9170	they	it	see , my dear , ” he said , “ <char> they </char> have spoilt the Grotto by endeavouring to make <place> it </place> too beautiful . I am certain it looked much better	two sisters . ” M. Sabathier signed to his wife to stop . He was now looking at the Grotto , again becoming a man of intellect , a professor whom questions of art had formerly impassioned . “ You see , my dear , ” he said , “ <char> they </char> have spoilt the Grotto by endeavouring to make <place> it </place> too beautiful . I am certain it looked much better in its original wildness .	for money ; only she adores him , she can not accustom herself to his neglect , and comes to pray the Blessed Virgin to give him back to her . At this moment , it appears , he is close by , at Luchon , with two ladies -- two sisters . ” M. Sabathier signed to his wife to stop . He was now looking at the Grotto , again becoming a man of intellect , a professor whom questions of art had formerly impassioned . “ You see , my dear , ” he said , “ <char> they </char> have spoilt the Grotto by endeavouring to make <place> it </place> too beautiful . I am certain it looked much better in its original wildness .
TKPESB	45405	you	Beaver	County all summer , an ’ huntin ’ muskrats in <place> Beaver </place> all winter . If <char> you </char> want my farm , you ’ve got to earn it	got the best four hundred acres o ’ land in Meredith County . After I ’m through with it it ’s yours if you want it . But you ca n’t get it by runnin ’ land lines in Jackson County all summer , an ’ huntin ’ muskrats in <place> Beaver </place> all winter . If <char> you </char> want my farm , you ’ve got to earn it , an ’ the only way you can earn it is to stay home an ’ work it like your father an ’ your gran’father did before you . Now , that ’s the last word .	he said at last , “ that I must give up my surveying or leave my home ? ” The old man turned on his questioner suddenly , aroused at last from his seeming impassiveness . “ Look here , young man , ” he said , “ I ’ve got the best four hundred acres o ’ land in Meredith County . After I ’m through with it it ’s yours if you want it . But you ca n’t get it by runnin ’ land lines in Jackson County all summer , an ’ huntin ’ muskrats in <place> Beaver </place> all winter . If <char> you </char> want my farm , you ’ve got to earn it , an ’ the only way you can earn it is to stay home an ’ work it like your father an ’ your gran’father did before you . Now , that ’s the last word .
JCDHCL	25489	he	Naples	barn , got so accustomed to fire and brimstone that <char> he </char> retired to <place> Naples </place> and touched off Vesuvius , just so he could look	, and having had opportunities to study history , by the pictures on the soap boxes and insurance calendars , that Nero , the Roman tyrant , after Rome was burned , while he fiddled for a dance in a barn , got so accustomed to fire and brimstone that <char> he </char> retired to <place> Naples </place> and touched off Vesuvius , just so he could look at it . But Vesuvius , about 2,000 years ago , got to burning way down in its bowels , and the fire got beyond control , and I suppose now the fire is away down in the center of	geographies to make them sell . How a man can attain the prominence and position in the business world that dad has , and not know any more than he does , is what beats me . Of course , you know , having kept a grocery since the war , and having had opportunities to study history , by the pictures on the soap boxes and insurance calendars , that Nero , the Roman tyrant , after Rome was burned , while he fiddled for a dance in a barn , got so accustomed to fire and brimstone that <char> he </char> retired to <place> Naples </place> and touched off Vesuvius , just so he could look at it . But Vesuvius , about 2,000 years ago , got to burning way down in its bowels , and the fire got beyond control , and I suppose now the fire is away down in the center of the earth , and you know when you get down in the earth below the crust , on which we live and raise potatoes , everything is melted , like iron in a foundry , and Vesuvius is the spigot through which the fluid comes to the surface .
NISFKE	21329	I	the Chamber	"you have a committee meeting at three o'clock , and <char> I </char> shall see you very soon in <place> the Chamber </place> . "" Then , turning to Jenkins , he added"	"well ! this _ Messager _ man is your clarinet ; if you let him see that his music wearies you , he will never stop . By the way , my dear deputy , let me remind you that you have a committee meeting at three o'clock , and <char> I </char> shall see you very soon in <place> the Chamber </place> . "" Then , turning to Jenkins , he added : "" You know what I asked you for , Doctor,--pearls for day after to - morrow ."	"burden to the Duc de Mora . ' Not a day does he miss , the villain . Look you ! if I should open the window a crack , you would hear that deluge of shrill little notes above the noise of the water and the carriages . Very well ! this _ Messager _ man is your clarinet ; if you let him see that his music wearies you , he will never stop . By the way , my dear deputy , let me remind you that you have a committee meeting at three o'clock , and <char> I </char> shall see you very soon in <place> the Chamber </place> . "" Then , turning to Jenkins , he added : "" You know what I asked you for , Doctor,--pearls for day after to - morrow ."
AQTYQG	46694	his	Singapore	"be known that he was going home , and left <place> Singapore </place> . "" It was <char> his </char> remarkable destiny to be the revealer of his own perfidy"	"strain , the ship ’s affairs were settled without a hitch , and the name of the _ Speedwell _ passed simultaneously from the Maritime Register and from the books of her owners in America . Captain Wilbur let it be known that he was going home , and left <place> Singapore </place> . "" It was <char> his </char> remarkable destiny to be the revealer of his own perfidy ; he made no bones about the job . Instead of going home , he went to Batavia , and there hired a schooner and crew with the proceeds of his personal holding in the _ Speedwell _ ."	"those days there were no steam craft in the East to send on a mission of salvage , and the Eastern Passages were forbidden hunting ground . What they caught they were allowed to keep , with no words said and the page closed . The insurance companies stood the strain , the ship ’s affairs were settled without a hitch , and the name of the _ Speedwell _ passed simultaneously from the Maritime Register and from the books of her owners in America . Captain Wilbur let it be known that he was going home , and left <place> Singapore </place> . "" It was <char> his </char> remarkable destiny to be the revealer of his own perfidy ; he made no bones about the job . Instead of going home , he went to Batavia , and there hired a schooner and crew with the proceeds of his personal holding in the _ Speedwell _ ."
DTQIQZ	13840	not a living person	the worst parts of the town	are like . They say there be courts down in <place> the worst parts of the town </place> where <char> not a living person </char> remains , and where there be none left to give	yourself , so you are bound in duty to come back and look after us the first moment you can . Go along with you all , and bring me word what London is doing , and what the streets are like . They say there be courts down in <place> the worst parts of the town </place> where <char> not a living person </char> remains , and where there be none left to give notice of the deaths . You go and bring me word about all that .	, and there 's an end of it . Go your ways , go your ways ; I 'm none too ill for Dorcas to look to , now that the little fool is assured that I have n't got the plague . But you may have brought it here yourself , so you are bound in duty to come back and look after us the first moment you can . Go along with you all , and bring me word what London is doing , and what the streets are like . They say there be courts down in <place> the worst parts of the town </place> where <char> not a living person </char> remains , and where there be none left to give notice of the deaths . You go and bring me word about all that .
